Job Id,Job Role,Industry,Company Name,Location,Salary (INR),Experience Required (years),Qualification,Employment Type,Skills,Posted Date,Source,Work Mode,Job Rating,Total Job Openings,Applications Received,Candidates Hired,Male Candidates,Female Candidates,Other Gender Candidates,Skill Demand Score,Skill Supply Score,Skill Gap,In-demand Skills,Gender Pay Gap (%),Employee Satisfaction Score (%),Reasons for Job Switch,Average Employee Retention (Years),Turnover Rate (%),Employee Benefits,Bonuses & Benefits Included?,Employment Rate (%),Unemployment Rate (%),Total Employees in Company,Mandatory Hours per Week,Burnout Risk,Number of Certifications,Years in Industry
NIK-CYB-7920,Cybersecurity Analyst,Finance,Nike,"Paris, France",2309862,14,B.Com,Full-Time,"Power BI, SEO",11-01-2020,Glassdoor,Remote,4.3,1,155,1,0,1,0,76,62,14,"Photoshop, HR Policies",7,75,Culture,4,11,"Bonuses, Perks",No,89,11,,37,High,3,16
SAM-FIN-8481,Finance Consultant,Education,Samsung,"Berlin, Germany",2640952,1,B.Sc,Full-Time,"Machine Learning, Python",28-12-2019,Naukri,Hybrid,3.1,8,265,6,6,0,0,87,62,25,"AWS, Power BI",6,77,Job Security,4.9,13,"WFH, Insurance",No,76,24,225805,39,Medium,4,3
AMA-SOF-9979,Software Engineer,Retail,Amazon,"Toronto, Canada",1811360,3,B.Tech,Part-time,"Power BI, Machine Learning",12-10-2015,Shine,Onsite,3.4,9,454,7,7,0,0,82,79,3,"Machine Learning, Photoshop",12,76,Growth,2.1,17,"WFH, Insurance",No,81,19,211602,37,High,2,1
MIC-FIN-7390,Finance Consultant,Marketing,Microsoft,"London, UK",2606190,5,BBA,Full-Time,"HR Policies, Photoshop",06-06-2024,Shine,Onsite,3.6,10,217,6,1,5,0,73,83,-10,"SQL, HR Policies",7,82,Growth,3.1,16,"WFH, Insurance",No,76,24,68047,40,High,2,7
TCS-BIO-7163,Biotech Researcher,Retail,TCS,"Dubai, UAE",668093,9,BBA,Contract,"React, SQL",23-05-2018,Indeed,Onsite,4.7,1,67,1,0,1,0,86,84,2,"Power BI, React",8,81,Culture,5.4,17,"Bonuses, Perks",Yes,82,18,81928,36,High,2,6
TCS-SOF-3547,Software Engineer,Healthcare,TCS,"New York, USA",1769273,0,B.Sc,Internship,"Python, HR Policies",14-05-2016,Indeed,Onsite,3.9,8,97,5,1,4,0,89,63,26,"SEO, Python",6,78,Salary,4.5,19,"WFH, Insurance",No,86,14,199054,45,Medium,1,2
NIK-MEC-8325,Mechanical Engineer,Retail,Nike,"Singapore, Singapore",2570706,1,B.Tech,Internship,"Power BI, Machine Learning",10-09-2014,Shine,Remote,3.1,5,76,4,4,0,0,63,66,-3,"AWS, HR Policies",11,94,Work-life balance,5.4,13,"WFH, Insurance",No,77,23,137010,41,Medium,1,3
TES-SOF-2536,Software Engineer,Biotechnology,Tesla,"Dubai, UAE",1406141,14,M.Sc,Full-Time,"Photoshop, AWS",28-07-2019,Naukri,Hybrid,4.1,7,162,1,1,0,0,90,60,30,"Photoshop, HR Policies",6,71,Growth,4.8,17,"Bonuses, Perks",Yes,79,21,97669,35,Medium,1,14
DEL-DAT-8151,Data Scientist,Design,Deloitte,"Singapore, Singapore",2570606,9,B.Sc,Part-time,"SQL, Machine Learning",20-09-2017,Shine,Onsite,4.7,2,85,2,1,1,0,70,61,9,"React, SEO",15,85,Growth,5.2,19,"WFH, Insurance",No,77,23,66220,38,Medium,2,11
TES-MAR-8732,Marketing Manager,Finance,Tesla,"Dubai, UAE",1975671,6,M.Sc,Part-time,"Java, SQL",28-09-2019,Naukri,Onsite,3.4,10,79,5,3,2,0,70,62,8,"SEO, Python",5,94,Work-life balance,3.6,12,"Bonuses, Perks",Yes,83,17,93100,41,Medium,4,8
AMA-MEC-1236,Mechanical Engineer,Retail,Amazon,"Singapore, Singapore",1013030,11,B.Sc,Internship,"Java, HR Policies",17-04-2022,Glassdoor,Remote,3.2,7,222,7,6,1,0,95,86,9,"HR Policies, Photoshop",6,91,Job Security,3.7,11,"Bonuses, Perks",No,79,21,90587,36,High,1,13
GOO-MAR-6002,Marketing Manager,Manufacturing,Google,"Paris, France",2070422,4,B.Com,Part-time,"SQL, Photoshop",24-02-2020,Naukri,Remote,3.8,10,198,5,5,0,0,69,80,-11,"Java, Photoshop",7,84,Salary,4.2,11,"Bonuses, Perks",Yes,80,20,54476,42,Medium,3,4
DEL-SOF-2388,Software Engineer,Retail,Deloitte,"London, UK",2730302,5,B.Tech,Contract,"Java, HR Policies",27-09-2020,LinkedIn,Remote,3.1,2,437,1,1,0,0,75,82,-7,"Machine Learning, Power BI",15,89,Growth,5.9,19,"WFH, Insurance",Yes,79,21,184539,40,Medium,2,7
TES-MAR-7451,Marketing Manager,Finance,Tesla,"Mumbai, India",1311961,7,B.Tech,Contract,"Python, Machine Learning",12-07-2022,Shine,Hybrid,3.7,9,276,5,1,4,0,63,75,-12,"SEO, Power BI",6,85,Work-life balance,4.3,15,"Bonuses, Perks",No,75,25,193495,40,Low,1,9
MIC-SOF-4232,Software Engineer,Biotechnology,Microsoft,"Sydney, Australia",2269397,3,MBA,Part-time,"Machine Learning, AWS",03-01-2023,Naukri,Hybrid,4.5,9,329,2,1,1,0,82,89,-7,"Power BI, Python",9,92,Job Security,3,17,"Bonuses, Perks",Yes,80,20,224163,43,Low,4,5
GOO-GRA-7270,Graphic Designer,Manufacturing,Google,"London, UK",1914827,3,Diploma,Full-Time,"Machine Learning, Java",24-05-2024,Naukri,Onsite,4.2,8,495,1,1,0,0,79,84,-5,"Machine Learning, Power BI",5,95,Growth,3.4,16,"Bonuses, Perks",Yes,86,14,214050,45,Low,3,5
TES-DAT-9258,Data Scientist,Design,Tesla,"Bangalore, India",2435978,3,BBA,Full-Time,"SQL, Photoshop",13-10-2023,Glassdoor,Remote,4.7,4,133,3,2,1,0,75,80,-5,"Machine Learning, SEO",6,74,Job Security,2.5,14,"WFH, Insurance",Yes,82,18,86905,35,Medium,3,5
AMA-MEC-9406,Mechanical Engineer,Marketing,Amazon,"Dubai, UAE",2143305,7,M.Sc,Internship,"Python, AWS",13-02-2018,Shine,Hybrid,4.2,8,236,8,3,5,0,83,83,0,"HR Policies, Power BI",7,89,Job Security,5.2,15,"WFH, Insurance",Yes,85,15,128434,44,Low,2,9
GOO-DAT-7007,Data Analyst,IT,Google,"Toronto, Canada",912387,0,M.Com,Full-Time,"SQL, SEO",04-04-2022,Glassdoor,Hybrid,4.3,10,142,5,3,2,0,80,63,17,"AWS, HR Policies",13,87,Job Security,4.1,19,"WFH, Insurance",No,83,17,194878,36,Low,2,2
SAM-BIO-1721,Biotech Researcher,Biotechnology,Samsung,"Sydney, Australia",546211,5,M.Sc,Full-Time,"Power BI, Java",24-11-2022,LinkedIn,Hybrid,3.4,2,108,2,0,2,0,95,70,25,"AWS, Machine Learning",8,95,Work-life balance,2,16,"WFH, Insurance",Yes,82,18,210874,43,Low,2,7
GOO-HR -2353,HR Manager,Healthcare,Google,"Paris, France",1551348,12,MBA,Contract,"SEO, React",10-12-2020,Glassdoor,Hybrid,3.3,6,102,2,2,0,0,80,62,18,"HR Policies, Photoshop",7,85,Work-life balance,5.7,16,"Bonuses, Perks",Yes,85,15,215598,37,High,4,14
DEL-FIN-6546,Finance Consultant,Education,Deloitte,"Sydney, Australia",1166647,0,MBA,Contract,"Machine Learning, Power BI",02-09-2020,Indeed,Remote,3,10,124,7,3,4,0,92,89,3,"SQL, Java",5,81,Salary,2.2,13,"WFH, Insurance",Yes,75,25,78776,44,Medium,2,2
PFI-DAT-6315,Data Analyst,HR,Pfizer,"Paris, France",2206029,5,Diploma,Full-Time,"HR Policies, Photoshop",18-09-2016,Naukri,Onsite,4.1,4,442,1,0,1,0,92,61,31,"SQL, AWS",7,95,Job Security,2.4,12,"Bonuses, Perks",No,79,21,195218,45,Low,3,7
PFI-GRA-9946,Graphic Designer,Education,Pfizer,"Berlin, Germany",1314988,2,M.Tech,Contract,"SEO, React",16-10-2017,Glassdoor,Onsite,4.1,9,382,2,0,2,0,62,86,-24,"HR Policies, Power BI",9,85,Salary,3.5,20,"Bonuses, Perks",No,82,18,60474,44,High,2,4
MIC-SOF-4287,Software Engineer,IT,Microsoft,"Berlin, Germany",2092620,7,M.Tech,Internship,"SEO, Power BI",13-04-2023,Upwork,Onsite,3.2,3,133,3,3,0,0,87,69,18,"SEO, Photoshop",15,74,Salary,2.1,17,"Bonuses, Perks",Yes,88,12,57732,41,Medium,2,1
TES-HR -1094,HR Manager,Design,Tesla,"Sydney, Australia",1563704,13,M.Tech,Contract,"AWS, Python",21-03-2021,LinkedIn,Onsite,3.5,7,66,3,0,3,0,72,63,9,"SQL, HR Policies",12,83,Growth,2.5,11,"WFH, Insurance",Yes,86,14,172415,39,Medium,4,14
SAM-SOF-8508,Software Engineer,Healthcare,Samsung,"Mumbai, India",2746274,8,MBA,Internship,"HR Policies, SEO",07-06-2022,Shine,Remote,4.6,2,62,1,1,0,0,68,70,-2,"Power BI, SEO",15,87,Growth,3.8,13,"WFH, Insurance",Yes,83,17,180965,35,Medium,4,4
SAM-SOF-8565,Software Engineer,Healthcare,Samsung,"Toronto, Canada",1068444,1,PhD,Internship,"SQL, React",04-08-2021,Shine,Remote,4.8,9,170,7,2,5,0,87,67,20,"AWS, Python",12,92,Work-life balance,3.9,14,"WFH, Insurance",No,85,15,185739,38,Medium,1,3
ADO-FIN-3821,Finance Consultant,Biotechnology,Adobe,"Dubai, UAE",2104982,8,PhD,Part-time,"Python, SQL",12-06-2020,Shine,Remote,3.9,4,168,4,0,4,0,92,55,37,"AWS, SEO",14,78,Salary,3.6,14,"Bonuses, Perks",No,90,10,133853,44,High,2,10
DEL-HR -7375,HR Manager,Biotechnology,Deloitte,"Sydney, Australia",1368114,12,PhD,Contract,"HR Policies, Java",03-08-2018,Naukri,Remote,4.4,10,375,10,7,3,0,91,80,11,"Python, AWS",12,89,Job Security,3.4,15,"WFH, Insurance",Yes,89,11,182885,36,Medium,2,12
TCS-MEC-9013,Mechanical Engineer,Education,TCS,"Sydney, Australia",2395703,1,M.Sc,Part-time,"React, Power BI",14-07-2023,LinkedIn,Hybrid,3.3,1,477,1,0,1,0,60,86,-26,"Photoshop, SQL",7,84,Job Security,5.1,13,"WFH, Insurance",Yes,90,10,65361,41,High,1,3
AMA-HR -4323,HR Manager,Manufacturing,Amazon,"Singapore, Singapore",914488,7,BBA,Part-time,"HR Policies, AWS",17-06-2016,Upwork,Remote,4.9,6,142,2,0,2,0,80,60,20,"Python, Photoshop",10,75,Salary,3.8,18,"Bonuses, Perks",Yes,89,11,218677,45,High,3,9
TES-HR -1542,HR Manager,Manufacturing,Tesla,"New York, USA",2195259,10,B.Tech,Full-Time,"Machine Learning, Photoshop",24-10-2020,Upwork,Onsite,4,6,275,2,1,1,0,90,70,20,"React, Photoshop",12,73,Culture,5.7,14,"WFH, Insurance",Yes,85,15,103626,43,Low,5,12
TES-CYB-9439,Cybersecurity Analyst,IT,Tesla,"London, UK",2616742,15,PhD,Contract,"SQL, Python",14-10-2014,Naukri,Remote,3.5,3,300,3,2,1,0,66,65,1,"Power BI, AWS",14,92,Culture,5,12,"WFH, Insurance",Yes,86,14,68973,38,Low,4,2
ADO-CYB-2597,Cybersecurity Analyst,Healthcare,Adobe,"Dubai, UAE",1933951,0,Diploma,Contract,"Machine Learning, AWS",20-09-2017,LinkedIn,Remote,4.7,10,495,4,4,0,0,77,90,-13,"Java, React",15,79,Salary,5.6,19,"WFH, Insurance",No,75,25,67385,41,Low,3,2
TCS-GRA-4921,Graphic Designer,Design,TCS,"Toronto, Canada",1131056,10,Diploma,Contract,"Python, Machine Learning",14-01-2017,LinkedIn,Remote,3.6,8,342,5,3,2,0,82,56,26,"HR Policies, SEO",9,80,Work-life balance,5.3,18,"WFH, Insurance",Yes,85,15,69531,39,High,2,11
TCS-BIO-4084,Biotech Researcher,Education,TCS,"Toronto, Canada",1638298,12,PhD,Internship,"Power BI, Photoshop",03-01-2016,Indeed,Hybrid,3.2,8,146,8,0,8,0,95,65,30,"Java, Power BI",5,72,Culture,5.2,19,"Bonuses, Perks",No,82,18,109227,35,Low,5,14
SAM-FIN-8873,Finance Consultant,Biotechnology,Samsung,"Sydney, Australia",747987,15,PhD,Part-time,"Python, HR Policies",24-04-2015,LinkedIn,Onsite,4,1,409,1,0,1,0,79,76,3,"React, Java",10,81,Culture,5.7,11,"Bonuses, Perks",No,77,23,105741,44,High,1,7
TES-FIN-7235,Finance Consultant,Biotechnology,Tesla,"Bangalore, India",2426326,1,B.Tech,Internship,"React, Machine Learning",26-03-2024,Shine,Hybrid,3.3,3,375,1,0,1,0,74,86,-12,"SEO, HR Policies",11,77,Job Security,2.1,10,"WFH, Insurance",No,86,14,147746,39,High,3,3
GOO-HR -7261,HR Manager,HR,Google,"Toronto, Canada",1105275,2,M.Tech,Contract,"Photoshop, Machine Learning",24-01-2017,Glassdoor,Remote,3.5,1,279,1,0,1,0,83,59,24,"SEO, HR Policies",8,81,Salary,4.8,15,"Bonuses, Perks",Yes,88,12,225504,39,Medium,2,1
MIC-CYB-7526,Cybersecurity Analyst,Retail,Microsoft,"Toronto, Canada",1769531,13,B.Tech,Internship,"AWS, React",07-08-2019,Indeed,Onsite,4.6,2,67,2,2,0,0,90,77,13,"React, SEO",7,93,Salary,5.9,16,"Bonuses, Perks",Yes,75,25,96450,43,High,4,8
TES-DAT-8723,Data Scientist,IT,Tesla,"Mumbai, India",802525,9,M.Tech,Part-time,"Photoshop, Power BI",07-05-2022,Indeed,Onsite,3.1,5,411,5,3,2,0,73,72,1,"Machine Learning, SEO",5,87,Job Security,3.4,20,"Bonuses, Perks",Yes,83,17,213093,37,Low,3,2
